Claim_ID,Policy_Holder,Claim_Date,Claim_Type,Claim_Amount,Location,Rainfall_mm,Weather_Condition,Settlement_Status,Processing_Days
C0081,Armaan Saran,2025-04-18,Property,181060,Bangalore,136,Heavy Rain,Rejected,3
C0082,Indrajit Solanki,2024-12-22,Health,147155,Mumbai,91,Moderate Rain,Settled,30
C0083,Uthkarsh Chaudry,2025-07-24,Property,129786,Hyderabad,220,Moderate Rain,Settled,8
C0084,Jayesh Comar,2025-05-18,Health,110972,Pune,190,Light Rain,Rejected,11
C0085,Jayesh Saran,2025-04-15,Property,394982,Lucknow,65,Heavy Rain,Settled,17
C0086,Indrans Samra,2024-10-20,Agriculture,220362,Kolkata,171,Flood,Settled,23
C0087,Renee Jha,2025-03-04,Property,464695,Delhi,187,Moderate Rain,Pending,24
C0088,Seher Desai,2025-08-22,Vehicle,106307,Mumbai,193,Moderate Rain,Pending,28
C0089,Chirag Soni,2025-05-27,Property,393948,Bangalore,204,Flood,Settled,24
C0090,Hiran Dugal,2025-05-08,Property,478970,Jaipur,110,Moderate Rain,Settled,8
C0091,Amani Sundaram,2024-12-09,Property,221350,Delhi,205,Light Rain,Settled,12
C0092,Akarsh Sahni,2025-05-22,Health,181368,Ahmedabad,135,Moderate Rain,Settled,25
C0093,Veer Ganesh,2025-04-09,Agriculture,225572,Lucknow,78,Flood,Rejected,28
C0094,Ayesha Cherian,2025-06-13,Health,144295,Pune,278,Moderate Rain,Settled,28
C0095,Tanya Karan,2025-04-13,Health,136046,Pune,190,Moderate Rain,Pending,9
C0096,Miraan Desai,2025-01-21,Vehicle,32305,Jaipur,190,Light Rain,Settled,17
C0097,Eshani Bhatti,2025-07-14,Vehicle,99592,Pune,239,Light Rain,Pending,19
C0098,Vivaan Bahri,2024-10-19,Property,239259,Mumbai,131,Flood,Pending,15
C0099,Suhana Borah,2025-01-14,Vehicle,92948,Pune,182,Moderate Rain,Pending,15
C0100,Vidur Rajan,2025-04-27,Vehicle,112260,Bangalore,233,Moderate Rain,Settled,23
C0101,Lagan Gaba,2025-01-22,Property,108239,Delhi,65,Light Rain,Settled,5
C0102,Uthkarsh Sampath,2025-06-09,Property,410243,Ahmedabad,258,Heavy Rain,Settled,22
C0103,Lagan Bath,2025-01-13,Property,492681,Bangalore,143,Flood,Settled,6
C0104,Kashvi Amble,2025-05-28,Health,151556,Jaipur,160,Light Rain,Pending,15
C0105,Jiya Bir,2025-06-15,Vehicle,69562,Bangalore,190,Light Rain,Pending,18
C0106,Kanav Shetty,2024-11-15,Health,91687,Hyderabad,276,Flood,Settled,27
C0107,Ira Borra,2024-12-08,Agriculture,70935,Lucknow,275,Flood,Settled,11
C0108,Ishaan Aggarwal,2025-06-30,Property,284705,Delhi,195,Moderate Rain,Rejected,15
C0109,Anika Sheth,2025-08-08,Agriculture,99656,Jaipur,281,Heavy Rain,Pending,25
C0110,Alia Hayer,2025-04-15,Agriculture,58309,Bangalore,176,Moderate Rain,Rejected,6
C0111,Samarth Baral,2025-03-06,Vehicle,144666,Hyderabad,264,Flood,Settled,9
C0112,Priyansh Kohli,2025-08-06,Agriculture,181091,Hyderabad,155,Moderate Rain,Settled,5
C0113,Taran Batta,2024-10-31,Vehicle,43766,Jaipur,224,Light Rain,Rejected,28
C0114,Sahil Halder,2025-07-24,Vehicle,133689,Chennai,112,Flood,Settled,29
C0115,Mehul Sem,2025-07-22,Property,365829,Mumbai,88,Heavy Rain,Rejected,10
C0116,Jayant Acharya,2025-07-22,Vehicle,126145,Chennai,284,Light Rain,Settled,12
C0117,Prerak Atwal,2025-08-27,Agriculture,240469,Delhi,123,Light Rain,Rejected,27
C0118,Samarth Shukla,2025-03-30,Health,121944,Bangalore,113,Moderate Rain,Settled,28
C0119,Seher Korpal,2025-07-03,Property,210335,Jaipur,175,Light Rain,Settled,4
C0120,Saanvi Vora,2025-06-05,Health,134700,Jaipur,231,Moderate Rain,Settled,7
C0121,Priyansh Sharaf,2025-04-16,Property,281120,Lucknow,286,Light Rain,Rejected,13
C0122,Tushar Khurana,2025-02-04,Property,282145,Bangalore,246,Flood,Settled,23
C0123,Elakshi Mannan,2025-07-11,Property,474482,Delhi,125,Flood,Rejected,16
C0124,Akarsh Yadav,2024-12-14,Property,436194,Delhi,259,Heavy Rain,Settled,13
C0125,Purab Bhatnagar,2025-09-24,Property,358203,Pune,153,Flood,Pending,20
C0126,Trisha Ravel,2024-11-24,Property,324758,Delhi,169,Flood,Settled,22
C0127,Sara Halder,2024-11-18,Agriculture,52056,Ahmedabad,147,Flood,Settled,14
C0128,Rati Sarkar,2025-09-01,Vehicle,101248,Pune,97,Flood,Settled,11
C0129,Chirag Mall,2025-06-26,Agriculture,232424,Ahmedabad,158,Heavy Rain,Settled,30
C0130,Indrajit Dyal,2024-11-20,Vehicle,81666,Ahmedabad,197,Flood,Settled,3
C0131,Krish Baral,2025-07-25,Agriculture,88239,Lucknow,232,Light Rain,Settled,27
C0132,Divyansh Handa,2025-04-29,Agriculture,272994,Bangalore,100,Light Rain,Settled,29
C0133,Himmat Ratti,2025-01-10,Vehicle,148619,Chennai,220,Light Rain,Pending,13
C0134,Mehul Lad,2025-04-26,Vehicle,98682,Lucknow,185,Heavy Rain,Pending,24
C0135,Kartik Sen,2025-09-26,Vehicle,126335,Delhi,142,Moderate Rain,Settled,18
C0136,Nayantara Ramesh,2025-03-27,Agriculture,183833,Jaipur,207,Heavy Rain,Settled,25
C0137,Kiara Basu,2025-08-08,Property,368762,Jaipur,263,Light Rain,Settled,4
C0138,Jhanvi Bhatti,2025-02-02,Health,26659,Delhi,226,Heavy Rain,Settled,18
C0139,Badal Lad,2025-04-02,Property,271900,Jaipur,111,Heavy Rain,Rejected,4
C0140,Amani Chokshi,2024-10-16,Agriculture,138052,Chennai,264,Heavy Rain,Pending,9
C0141,Amira Chadha,2025-01-02,Health,49821,Hyderabad,240,Flood,Pending,18
C0142,Adah Dixit,2025-02-12,Property,320559,Ahmedabad,145,Moderate Rain,Pending,12
C0143,Rohan Brahmbhatt,2025-09-15,Health,42884,Bangalore,179,Flood,Rejected,16
C0144,Himmat Chhabra,2025-01-07,Vehicle,40768,Ahmedabad,256,Moderate Rain,Pending,26
C0145,Krish Chad,2025-01-06,Property,157715,Ahmedabad,207,Heavy Rain,Settled,19
C0146,Advika Bhat,2025-03-31,Vehicle,137451,Jaipur,166,Flood,Pending,8
C0147,Uthkarsh Kaul,2025-01-28,Property,276035,Ahmedabad,300,Light Rain,Settled,29
C0148,Sana Virk,2025-03-26,Property,243097,Hyderabad,186,Flood,Settled,25
C0149,Ehsaan Thaker,2025-07-04,Vehicle,41453,Mumbai,87,Moderate Rain,Settled,22
C0150,Advik Amble,2025-02-11,Property,467181,Delhi,125,Flood,Pending,12
C0151,Kanav Bora,2025-04-15,Vehicle,54650,Pune,95,Light Rain,Pending,10
C0152,Riaan Kunda,2025-02-15,Vehicle,94300,Jaipur,116,Heavy Rain,Pending,5
C0153,Nakul Varkey,2025-08-07,Agriculture,290054,Jaipur,212,Heavy Rain,Settled,14
C0154,Drishya Keer,2025-09-26,Agriculture,258186,Bangalore,88,Light Rain,Settled,26
C0155,Ela Kala,2025-03-20,Health,36799,Jaipur,59,Heavy Rain,Pending,19
C0156,Rania Hora,2025-08-02,Property,482373,Jaipur,66,Flood,Settled,7
C0157,Devansh Lalla,2025-03-13,Property,250470,Pune,212,Light Rain,Settled,26
C0158,Chirag Sibal,2024-10-03,Vehicle,132677,Mumbai,139,Light Rain,Pending,10
C0159,Dhanush Bahri,2025-09-23,Health,163423,Pune,62,Heavy Rain,Pending,26
C0160,Oorja Reddy,2025-02-23,Health,42113,Delhi,167,Light Rain,Pending,11
C0161,Vidur Datta,2024-09-26,Vehicle,100801,Bangalore,60,Light Rain,Settled,11
C0162,Shanaya Bansal,2024-11-17,Vehicle,75745,Ahmedabad,119,Flood,Pending,8
C0163,Kaira Ray,2025-02-17,Vehicle,46697,Lucknow,88,Moderate Rain,Pending,12
C0164,Lagan Issac,2025-08-04,Vehicle,103964,Lucknow,177,Moderate Rain,Settled,21
C0165,Adira D’Alia,2025-06-02,Health,127544,Pune,300,Light Rain,Settled,30
C0166,Aarush Roy,2024-12-09,Health,61255,Mumbai,66,Heavy Rain,Settled,26
C0167,Diya Sahota,2024-12-29,Agriculture,100201,Jaipur,112,Flood,Rejected,4
C0168,Rhea Trivedi,2024-11-23,Vehicle,128922,Ahmedabad,264,Flood,Settled,5
C0169,Eva Dewan,2025-01-21,Agriculture,226222,Bangalore,276,Moderate Rain,Pending,30
C0170,Kashvi Kaul,2025-02-03,Property,165322,Jaipur,283,Heavy Rain,Pending,3
C0171,Vihaan Rana,2025-04-03,Vehicle,113247,Bangalore,72,Light Rain,Settled,28
C0172,Aaryahi Raval,2024-11-14,Vehicle,115853,Pune,249,Moderate Rain,Pending,26
C0173,Hrishita Bhat,2024-10-09,Health,190333,Bangalore,106,Light Rain,Pending,16
C0174,Hansh Kurian,2025-05-03,Vehicle,94744,Bangalore,127,Heavy Rain,Pending,16
C0175,Zoya Basak,2025-06-19,Health,132083,Chennai,203,Moderate Rain,Settled,11
C0176,Zeeshan Varughese,2025-09-02,Property,203655,Bangalore,84,Flood,Settled,29
C0177,Hansh Soni,2025-01-24,Property,450004,Ahmedabad,292,Heavy Rain,Settled,15
C0178,Zeeshan Walia,2025-05-17,Vehicle,97838,Pune,91,Heavy Rain,Rejected,26
C0179,Advika Devi,2025-07-01,Property,201374,Mumbai,157,Heavy Rain,Settled,7
C0180,Ivan Dutta,2025-04-20,Vehicle,91665,Chennai,95,Heavy Rain,Settled,30
C0181,Indrans Lalla,2025-02-18,Vehicle,49116,Delhi,131,Heavy Rain,Rejected,18
C0182,Vivaan Datta,2025-07-03,Health,22191,Kolkata,123,Light Rain,Settled,15
C0183,Kartik Sarna,2025-09-25,Agriculture,52782,Chennai,194,Flood,Pending,28
C0184,Lavanya Chawla,2024-12-29,Vehicle,68921,Jaipur,147,Light Rain,Pending,22
C0185,Hazel Barman,2024-12-27,Vehicle,131301,Chennai,274,Heavy Rain,Settled,4
C0186,Rati Dugar,2024-10-07,Property,475421,Ahmedabad,157,Light Rain,Settled,29
C0187,Nirvaan Chad,2024-10-02,Property,150558,Chennai,164,Light Rain,Settled,25
C0188,Vedika Dubey,2025-04-09,Vehicle,92775,Lucknow,260,Heavy Rain,Pending,27
C0189,Pihu Badami,2025-01-28,Property,444823,Hyderabad,284,Heavy Rain,Settled,16
C0190,Aaryahi Thakkar,2025-02-23,Property,161790,Mumbai,140,Moderate Rain,Pending,13
C0191,Jayesh Chandran,2025-04-02,Property,218368,Lucknow,280,Moderate Rain,Pending,7
C0192,Lakshit Dar,2025-09-22,Agriculture,268500,Hyderabad,170,Flood,Settled,12
C0193,Onkar Taneja,2025-03-30,Property,434887,Delhi,137,Moderate Rain,Settled,11
C0194,Priyansh Garg,2025-01-08,Health,184922,Jaipur,140,Light Rain,Settled,6
C0195,Ishita Goel,2024-11-12,Vehicle,30613,Pune,77,Moderate Rain,Settled,13
C0196,Uthkarsh Goel,2025-08-09,Vehicle,74903,Pune,106,Flood,Pending,10
C0197,Yashvi Sibal,2025-07-18,Health,86520,Lucknow,201,Moderate Rain,Settled,16
C0198,Emir Solanki,2025-06-23,Health,199158,Ahmedabad,115,Moderate Rain,Settled,18
C0199,Tejas Das,2024-12-28,Vehicle,97627,Lucknow,94,Moderate Rain,Settled,16
C0200,Ritvik Sha,2025-05-16,Agriculture,223351,Delhi,236,Heavy Rain,Settled,25
C0201,Fateh Ramaswamy,2024-10-21,Health,136689,Delhi,211,Flood,Settled,27
C0202,Hunar Arora,2025-02-15,Health,113186,Jaipur,87,Light Rain,Pending,3
C0203,Shayak Biswas,2025-06-30,Agriculture,56059,Ahmedabad,153,Light Rain,Pending,30
C0204,Anahi Ghosh,2024-10-11,Agriculture,83528,Lucknow,92,Heavy Rain,Settled,13
C0205,Madhup Acharya,2024-11-29,Health,177417,Kolkata,242,Light Rain,Settled,28
C0206,Darshit Khatri,2025-01-22,Health,190429,Lucknow,295,Light Rain,Settled,4
C0207,Jivin Barad,2024-10-10,Property,297574,Kolkata,153,Moderate Rain,Settled,27
C0208,Taimur Thaman,2025-09-15,Vehicle,91683,Pune,230,Moderate Rain,Settled,22
C0209,Sara Bala,2024-10-19,Property,186219,Jaipur,182,Light Rain,Settled,26
C0210,Sahil Tank,2025-05-30,Vehicle,54145,Delhi,152,Light Rain,Settled,30
C0211,Kiaan Bath,2025-04-12,Vehicle,90560,Chennai,286,Heavy Rain,Settled,8
C0212,Yuvaan Agate,2024-10-01,Vehicle,116650,Kolkata,230,Flood,Settled,30
C0213,Ishaan Rao,2025-06-16,Agriculture,61794,Kolkata,163,Heavy Rain,Settled,30
C0214,Tiya Sarraf,2025-04-10,Vehicle,103643,Delhi,195,Flood,Pending,8
C0215,Elakshi Sachar,2025-01-31,Agriculture,175271,Jaipur,210,Light Rain,Pending,25
C0216,Mamooty Hayre,2025-07-25,Agriculture,154045,Mumbai,131,Light Rain,Pending,14
C0217,Vedika Kar,2025-04-26,Property,204653,Ahmedabad,300,Moderate Rain,Pending,16
C0218,Vedika Vala,2025-09-26,Vehicle,68471,Ahmedabad,172,Moderate Rain,Pending,23
C0219,Ishita Gala,2024-11-01,Health,187821,Delhi,85,Light Rain,Pending,28
C0220,Tarini Brahmbhatt,2025-06-16,Property,195442,Lucknow,214,Flood,Pending,25
C0221,Diya Rajan,2025-09-20,Agriculture,73681,Delhi,126,Flood,Settled,6
C0222,Adah Goswami,2024-12-26,Property,329325,Pune,261,Moderate Rain,Settled,6
C0223,Onkar Bhatt,2024-12-09,Health,162871,Bangalore,112,Flood,Pending,8
C0224,Prerak Chaudhuri,2025-09-25,Health,21632,Ahmedabad,144,Heavy Rain,Settled,22
C0225,Kartik Chowdhury,2025-01-05,Agriculture,268224,Pune,281,Light Rain,Pending,24
C0226,Dishani Tripathi,2025-05-25,Vehicle,130856,Mumbai,281,Flood,Rejected,17
C0227,Tara Dyal,2025-04-04,Health,71301,Hyderabad,113,Light Rain,Pending,11
C0228,Raghav Goyal,2024-12-06,Agriculture,251670,Chennai,84,Heavy Rain,Settled,8
C0229,Hunar Sachar,2025-02-15,Vehicle,34139,Chennai,94,Heavy Rain,Settled,7
C0230,Stuvan Kaur,2024-12-11,Agriculture,67362,Jaipur,225,Heavy Rain,Settled,5
C0231,Yuvaan Manne,2024-12-11,Vehicle,111741,Kolkata,296,Moderate Rain,Rejected,12
C0232,Ira Uppal,2024-11-19,Vehicle,139014,Jaipur,291,Moderate Rain,Settled,17
C0233,Shlok Suresh,2025-09-08,Vehicle,69158,Delhi,129,Heavy Rain,Pending,12
C0234,Shayak Malhotra,2025-07-16,Agriculture,86272,Mumbai,205,Flood,Settled,5
C0235,Kismat Mangat,2025-05-23,Property,221282,Hyderabad,191,Moderate Rain,Settled,11
C0236,Seher Warrior,2025-02-16,Vehicle,126544,Delhi,64,Moderate Rain,Settled,14
C0237,Hrishita Dash,2024-12-04,Health,184220,Bangalore,297,Light Rain,Settled,24
C0238,Rasha Bhatti,2024-12-12,Health,71729,Jaipur,158,Moderate Rain,Pending,10
C0239,Lavanya Kaul,2025-05-27,Health,181924,Delhi,207,Light Rain,Settled,27
C0240,Anay Singhal,2025-06-24,Agriculture,86933,Delhi,105,Flood,Settled,14
C0241,Dhanush Kari,2025-01-03,Agriculture,249392,Jaipur,285,Flood,Settled,5
C0242,Samaira Doshi,2024-12-31,Agriculture,216217,Hyderabad,121,Heavy Rain,Pending,14
C0243,Hunar Kari,2024-11-27,Property,157972,Ahmedabad,147,Moderate Rain,Settled,14
C0244,Misha Cheema,2024-12-21,Property,433419,Kolkata,87,Flood,Settled,19
C0245,Badal Dugar,2025-06-02,Property,102378,Bangalore,287,Heavy Rain,Settled,10
C0246,Kartik Jha,2025-09-06,Property,109547,Lucknow,154,Moderate Rain,Settled,20
C0247,Vivaan Rege,2025-09-07,Vehicle,61492,Chennai,233,Flood,Pending,3
C0248,Vaibhav Vasa,2024-12-10,Property,371636,Ahmedabad,141,Flood,Rejected,18
C0249,Alisha Dhillon,2025-03-21,Health,81290,Kolkata,230,Flood,Settled,26
C0250,Mishti Vyas,2025-05-06,Vehicle,148222,Ahmedabad,181,Light Rain,Settled,9
C0251,Divyansh Hayre,2024-10-07,Vehicle,145373,Kolkata,132,Moderate Rain,Pending,3
C0252,Kismat Thakkar,2025-08-18,Property,411133,Chennai,190,Heavy Rain,Pending,24
C0253,Tara Zacharia,2025-07-13,Property,473659,Bangalore,159,Moderate Rain,Pending,4
C0254,Urvi Varkey,2025-08-21,Property,488426,Chennai,73,Moderate Rain,Rejected,27
C0255,Piya Swamy,2025-03-12,Property,495465,Pune,98,Moderate Rain,Settled,25
C0256,Vritika Rastogi,2025-05-27,Health,42607,Mumbai,257,Light Rain,Pending,29
C0257,Anahita Kala,2025-06-12,Agriculture,195935,Ahmedabad,254,Moderate Rain,Settled,23
C0258,Zoya Walia,2025-01-16,Vehicle,135641,Chennai,178,Light Rain,Settled,16
C0259,Kiaan Trivedi,2025-01-06,Health,43920,Delhi,233,Flood,Settled,16
C0260,Divit Saha,2024-10-06,Health,26674,Jaipur,188,Moderate Rain,Pending,21
C0261,Lagan Mahal,2025-03-08,Property,443038,Pune,184,Flood,Settled,16
C0262,Zara Mander,2025-04-08,Vehicle,137106,Kolkata,61,Heavy Rain,Pending,14
C0263,Manjari Biswas,2025-01-14,Health,188502,Lucknow,239,Heavy Rain,Settled,12
C0264,Myra Sane,2025-07-11,Health,156851,Chennai,58,Moderate Rain,Settled,4
C0265,Sara Borde,2025-09-21,Property,226664,Kolkata,227,Flood,Settled,12
C0266,Rasha Ben,2025-03-15,Agriculture,269011,Hyderabad,177,Light Rain,Settled,27
C0267,Seher Gupta,2025-07-23,Property,119038,Bangalore,279,Light Rain,Pending,18
C0268,Rati Chada,2024-09-29,Property,157956,Delhi,245,Flood,Settled,7
C0269,Fateh Desai,2025-06-01,Property,217177,Ahmedabad,69,Flood,Pending,24
C0270,Zara Kar,2025-01-19,Agriculture,74677,Lucknow,257,Light Rain,Settled,13
C0271,Diya Brahmbhatt,2025-03-16,Vehicle,127270,Jaipur,287,Flood,Settled,23
C0272,Arhaan Madan,2024-12-26,Vehicle,95935,Hyderabad,277,Light Rain,Pending,7
C0273,Diya Bhagat,2024-12-29,Property,104186,Kolkata,167,Heavy Rain,Pending,13
C0274,Ira Mall,2025-08-27,Health,190702,Kolkata,52,Heavy Rain,Pending,24
C0275,Ryan Date,2025-02-13,Property,429117,Lucknow,263,Heavy Rain,Pending,19
C0276,Azad Sodhi,2025-01-04,Vehicle,34899,Lucknow,234,Flood,Settled,30
C0277,Hiran Setty,2025-05-12,Health,158483,Hyderabad,221,Flood,Settled,14
C0278,Divyansh Bhasin,2025-03-23,Health,103745,Hyderabad,191,Light Rain,Settled,17
C0279,Biju Raval,2024-10-12,Vehicle,62916,Hyderabad,177,Moderate Rain,Settled,14
C0280,Advika Kuruvilla,2025-08-31,Agriculture,172387,Ahmedabad,251,Heavy Rain,Settled,21
C0281,Mohanlal Ghose,2024-11-05,Health,56206,Mumbai,295,Flood,Settled,27
C0282,Krish Sanghvi,2025-06-15,Agriculture,119134,Jaipur,82,Light Rain,Settled,17
C0283,Eshani Kulkarni,2024-12-25,Vehicle,146308,Ahmedabad,285,Flood,Settled,7
C0284,Rhea Kar,2025-07-22,Health,180805,Chennai,251,Flood,Settled,18
C0285,Nehmat Srinivasan,2025-02-28,Vehicle,125503,Bangalore,137,Moderate Rain,Settled,30
C0286,Mehul Rajagopal,2025-02-16,Property,484549,Pune,83,Heavy Rain,Settled,14
C0287,Jayesh Chand,2025-08-29,Vehicle,43888,Jaipur,90,Heavy Rain,Pending,14
C0288,Zara Kapur,2025-02-04,Health,127403,Jaipur,116,Light Rain,Settled,14
C0289,Samar Gade,2024-12-24,Health,82426,Delhi,202,Heavy Rain,Pending,19
